Low, High, Last, Weight Avg
70.96, 132.40, 94.00, 98.57
88.45, 108.03, 95.01, 98.52
95.00, 112.23, 110.03, 101.52
95.10, 115.36, 99.00, 102.67
94.08, 132.70, 112.99, 101.98
94.07, 129.97, 129.97, 106.75
94.16, 132.46, 127.03, 110.96
89.32, 122.66, 122.66, 107.12
92.36, 109.00, 107.00, 102.38
77.62, 106.30, 96.28, 100.41
93.06, 110.02, 103.96, 102.88
84.36, 125.00, 125.00, 102.62
95.07, 138.91, 130.00, 117.82
98.31, 149.29, 138.85, 122.49
111.00, 161.67, 148.00, 139.59
115.00, 166.37, 156.00, 145.31
119.39, 158.22, 153.00, 145.13
124.47, 157.45, 153.99, 146.67
101.05, 167.15, 158.90, 143.66
111.51, 165.41, 160.00, 145.13
119.37, 167.99, 162.82, 149.52
120.51, 182.08, 175.00, 154.91
120.54, 180.36, 175.00, 158.55
104.21, 180.00, 171.55, 159.28
93.18, 168.24, 153.00, 148.92
94.23, 152.19, 145.00, 137.92
94.26, 145.00, 128.00, 130.24
95.00, 132.20, 104.50, 117.90
99.00, 138.01, 104.04, 110.92
92.49, 125.32, 107.95, 105.67
86.01, 128.35, 107.99, 100.59
83.40, 122.47, 116.99, 102.37
92.76, 118.88, 99.00, 103.28
87.00, 112.00, 104.78, 103.09
104.89, 140.80, 140.50, 126.64
111.16, 142.00, 139.00, 131.36
124.82, 145.00, 141.00, 134.93
125.01, 154.95, 153.25, 141.09
120.13, 170.79, 166.01, 143.89
119.00, 183.00, 179.87, 151.96
113.00, 168.50, 160.37, 142.18
105.35, 148.80, 138.00, 129.14
100.27, 148.02, 124.98, 120.20
63.50, 132.10, 107.05, 111.31
93.28, 131.99, 129.99, 109.83
88.40, 133.00, 131.00, 105.08
85.12, 126.95, 126.95, 99.48
74.70, 136.00, 131.21, 100.51
